orf_id	contig	orf_index	phrog_id	phrog_category	evalue	score
PC68097_1	PC68097	1	440	other	1.4e-33	117.7
PC1430839_2	PC1430839	2	NA	unannotated	NA	NA
PC269230_3	PC269230	3	34943	unknown function	0.45	11.5
PC382641_2	PC382641	2	35688	unknown function	0.15	13.5
PC1173686_2	PC1173686	2	30491	unknown function	0.13	13.8
PC41674_6	PC41674	6	NA	unannotated	NA	NA
PC1427156_3	PC1427156	3	37120	unknown function	6.8e-17	63.4
PC178889_7	PC178889	7	NA	unannotated	NA	NA
PC594609_4	PC594609	4	3677	other	0.14	11.4
PC141118_6	PC141118	6	1740	transcription regulation	4.2e-28	99.7
PC725519_6	PC725519	6	95	integration and excision	8e-53	181.5
PC1198011_6	PC1198011	6	17399	unknown function	4.3e-75	254.1
PC1552161_1	PC1552161	1	3736	unknown function	4.7e-09	37.6
PC956349_3	PC956349	3	2895	unknown function	3.1e-241	802.1
PC359060_5	PC359060	5	14014	unknown function	0.6	11.6
PC616509_2	PC616509	2	1740	transcription regulation	0.00037	20.6
PC1580091_1	PC1580091	1	705	unknown function	2.3	10.0
PC335848_1	PC335848	1	1249	other	5.6e-06	27.7
PC204053_12	PC204053	12	9854	unknown function	2.2e-42	146.4
PC588942_2	PC588942	2	8732	unknown function	0.00054	22.0
PC175132_3	PC175132	3	NA	unannotated	NA	NA
PC1371539_1	PC1371539	1	NA	unannotated	NA	NA
PC936866_9	PC936866	9	495	unknown function	2.4e-20	73.3
PC383544_3	PC383544	3	NA	unannotated	NA	NA
PC1289144_3	PC1289144	3	345	DNA, RNA and nucleotide metabolism	0.00068	20.9
PC851470_4	PC851470	4	944	moron, auxiliary metabolic gene and host takeover	0.064	14.4
PC234603_2	PC234603	2	453	DNA, RNA and nucleotide metabolism	0.051	14.4
PC1156895_4	PC1156895	4	NA	unannotated	NA	NA
PC309755_1	PC309755	1	857	unknown function	8.9e-34	119.0
PC1430697_5	PC1430697	5	33843	unknown function	0.067	15.1
PC1118252_5	PC1118252	5	9787	other	6e-56	190.4
PC428673_1	PC428673	1	16248	unknown function	0.34	12.7
PC851316_1	PC851316	1	NA	unannotated	NA	NA
PC1344359_4	PC1344359	4	24816	unknown function	0.0095	17.0
PC1503337_3	PC1503337	3	NA	unannotated	NA	NA
PC977624_4	PC977624	4	37658	unknown function	2.9e-14	53.8
PC793088_1	PC793088	1	5687	unknown function	0.0058	16.6
PC1319096_1	PC1319096	1	2214	DNA, RNA and nucleotide metabolism	4.1e-139	465.9
PC617594_1	PC617594	1	351	transcription regulation	1.8e-86	293.1
PC621270_2	PC621270	2	20964	unknown function	3.4e-76	257.7
PC471968_1	PC471968	1	NA	unannotated	NA	NA
PC1050188_5	PC1050188	5	876	transcription regulation	0.5	11.4
PC1391561_3	PC1391561	3	34887	unknown function	1.9	10.8
PC713520_4	PC713520	4	NA	unannotated	NA	NA
PC409388_2	PC409388	2	506	integration and excision	2.8e-35	123.7
PC727867_2	PC727867	2	8735	unknown function	9.2e-35	121.4
PC574287_3	PC574287	3	NA	unannotated	NA	NA
PC866941_1	PC866941	1	16969	unknown function	0.086	14.8
PC1530724_1	PC1530724	1	NA	unannotated	NA	NA
PC1581326_1	PC1581326	1	NA	unannotated	NA	NA
PC382052_8	PC382052	8	7785	DNA, RNA and nucleotide metabolism	1.1e-05	27.0
PC210406_2	PC210406	2	NA	unannotated	NA	NA
PC751984_1	PC751984	1	33038	unknown function	0.039	14.4
PC1262997_3	PC1262997	3	33360	tail	0.45	9.8
PC536372_2	PC536372	2	8237	unknown function	0.38	12.4
PC376620_3	PC376620	3	2172	unknown function	0.011	16.7
PC325953_3	PC325953	3	13721	unknown function	8.7e-21	76.2
PC1286598_2	PC1286598	2	192	DNA, RNA and nucleotide metabolism	1.9e-28	101.4
PC289462_1	PC289462	1	5888	unknown function	0.24	12.8
PC798890_3	PC798890	3	7872	unknown function	1.5e-42	147.2
PC1346525_1	PC1346525	1	4962	unknown function	0.2	11.9
PC467801_4	PC467801	4	31	tail	2.7e-08	33.6
PC590029_3	PC590029	3	NA	unannotated	NA	NA
PC40111_6	PC40111	6	NA	unannotated	NA	NA
PC1016164_2	PC1016164	2	13762	unknown function	0.086	14.5
PC1298644_2	PC1298644	2	33224	unknown function	0.12	14.0
PC837473_1	PC837473	1	19325	unknown function	0.37	12.3
PC664113_6	PC664113	6	494	unknown function	0.18	13.4
PC1497018_2	PC1497018	2	10512	head and packaging	0.11	13.2
PC501124_1	PC501124	1	2392	moron, auxiliary metabolic gene and host takeover	8.1e-84	283.8
PC1478559_5	PC1478559	5	NA	unannotated	NA	NA
PC225783_1	PC225783	1	NA	unannotated	NA	NA
PC1067513_6	PC1067513	6	NA	unannotated	NA	NA
PC203254_6	PC203254	6	11698	unknown function	2e-48	167.0
PC426398_8	PC426398	8	37143	unknown function	0.089	14.4
PC381308_2	PC381308	2	14201	unknown function	6.5e-28	99.3
PC1088441_2	PC1088441	2	6006	unknown function	0.018	16.7
PC1292201_2	PC1292201	2	NA	unannotated	NA	NA
PC191477_2	PC191477	2	841	moron, auxiliary metabolic gene and host takeover	2.4e-14	55.1
PC721908_44	PC721908	44	NA	unannotated	NA	NA
PC996711_1	PC996711	1	29062	unknown function	0.068	14.4
PC1245506_3	PC1245506	3	21378	unknown function	0.34	12.3
PC1428174_2	PC1428174	2	542	unknown function	0.013	17.6
PC942828_3	PC942828	3	NA	unannotated	NA	NA
PC1443820_5	PC1443820	5	21823	unknown function	0.18	13.3
PC967207_1	PC967207	1	540	DNA, RNA and nucleotide metabolism	3.3e-17	63.7
PC481848_3	PC481848	3	12673	unknown function	0.61	11.7
PC925930_1	PC925930	1	31787	unknown function	0.096	14.3
PC454742_2	PC454742	2	815	unknown function	0.045	14.4
PC764298_7	PC764298	7	NA	unannotated	NA	NA
PC1193824_2	PC1193824	2	NA	unannotated	NA	NA
PC1015423_5	PC1015423	5	11145	DNA, RNA and nucleotide metabolism	3.1e-23	84.1
PC1115929_1	PC1115929	1	NA	unannotated	NA	NA
PC303573_1	PC303573	1	4555	unknown function	9.2e-05	23.0
PC1320158_2	PC1320158	2	22644	unknown function	0.0022	18.0
PC1503462_1	PC1503462	1	3961	unknown function	0.13	13.7
PC158114_1	PC158114	1	6880	other	1.6e-48	166.9
PC997834_2	PC997834	2	379	DNA, RNA and nucleotide metabolism	1.9e-29	103.4
PC1314540_5	PC1314540	5	142	moron, auxiliary metabolic gene and host takeover	0.0041	18.7
PC947310_5	PC947310	5	7420	unknown function	0.0018	20.3
PC1255699_6	PC1255699	6	NA	unannotated	NA	NA
PC468572_1	PC468572	1	31093	transcription regulation	0.1	14.5
PC1003206_1	PC1003206	1	10397	unknown function	0.04	15.8
PC758191_1	PC758191	1	453	DNA, RNA and nucleotide metabolism	0.07	13.9
PC1075489_2	PC1075489	2	453	DNA, RNA and nucleotide metabolism	0.052	14.3
PC155329_1	PC155329	1	6229	unknown function	0.18	13.5
PC1437410_2	PC1437410	2	NA	unannotated	NA	NA
PC334890_1	PC334890	1	NA	unannotated	NA	NA
PC284033_2	PC284033	2	14588	unknown function	0.14	13.9
PC389987_6	PC389987	6	59	DNA, RNA and nucleotide metabolism	0.024	15.5
PC990849_1	PC990849	1	NA	unannotated	NA	NA
PC987816_4	PC987816	4	3980	unknown function	9.4e-05	22.7
PC1038264_3	PC1038264	3	34267	unknown function	0.65	11.2
PC1139564_1	PC1139564	1	NA	unannotated	NA	NA
PC1173989_1	PC1173989	1	731	unknown function	2e-18	68.0
PC1367149_3	PC1367149	3	20031	unknown function	9.1e-12	46.1
PC806964_1	PC806964	1	392	other	3.7e-16	61.0
PC894309_1	PC894309	1	NA	unannotated	NA	NA
PC1073297_3	PC1073297	3	16370	unknown function	0.11	14.1
PC586813_7	PC586813	7	2197	other	1.7e-70	238.0
PC849022_2	PC849022	2	NA	unannotated	NA	NA
PC129487_1	PC129487	1	28622	unknown function	8.9e-20	69.7
PC606975_2	PC606975	2	164	DNA, RNA and nucleotide metabolism	9.5e-13	49.5
PC1492847_2	PC1492847	2	27849	unknown function	0.0	1130.3
PC1503415_1	PC1503415	1	23393	unknown function	0.0041	17.8
PC1027256_2	PC1027256	2	23908	unknown function	0.021	15.9
PC215245_3	PC215245	3	NA	unannotated	NA	NA
PC626575_2	PC626575	2	NA	unannotated	NA	NA
PC174436_2	PC174436	2	1358	moron, auxiliary metabolic gene and host takeover	6.9e-13	48.5
PC155150_2	PC155150	2	18374	unknown function	2.1e-21	77.9
PC442227_1	PC442227	1	NA	unannotated	NA	NA
PC616509_3	PC616509	3	28543	unknown function	0.025	16.0
PC693882_3	PC693882	3	34171	unknown function	5.1	9.0
PC730140_1	PC730140	1	19044	unknown function	0.088	14.6
PC1187294_1	PC1187294	1	3419	DNA, RNA and nucleotide metabolism	7.3e-13	50.2
PC261509_5	PC261509	5	664	DNA, RNA and nucleotide metabolism	0.0048	18.3
PC1315148_1	PC1315148	1	37526	unknown function	0.13	14.2
PC1331850_3	PC1331850	3	21633	unknown function	5.3e-06	27.7
PC1090754_40	PC1090754	40	1544	unknown function	0.12	13.5
PC409229_1	PC409229	1	NA	unannotated	NA	NA
PC71181_40	PC71181	40	678	DNA, RNA and nucleotide metabolism	9.9e-19	69.6
PC249429_4	PC249429	4	2599	moron, auxiliary metabolic gene and host takeover	3.8e-39	136.4
PC435787_5	PC435787	5	17823	unknown function	5e-08	34.3
PC1184672_4	PC1184672	4	6986	unknown function	0.3	12.7
PC374973_8	PC374973	8	21295	unknown function	3.3e-46	159.3
PC385308_3	PC385308	3	1533	tail	0.0016	17.5
PC1130857_3	PC1130857	3	87	other	0.13	13.5
PC683186_3	PC683186	3	NA	unannotated	NA	NA
PC893154_11	PC893154	11	NA	unannotated	NA	NA
PC786252_4	PC786252	4	14684	unknown function	0.17	14.0
PC1358122_1	PC1358122	1	NA	unannotated	NA	NA
PC787594_3	PC787594	3	NA	unannotated	NA	NA
PC1049010_1	PC1049010	1	NA	unannotated	NA	NA
PC789085_3	PC789085	3	2640	other	2.6e-79	268.1
PC1464935_3	PC1464935	3	NA	unannotated	NA	NA
PC103831_1	PC103831	1	1249	other	7.4e-05	24.0
PC738858_33	PC738858	33	NA	unannotated	NA	NA
PC1296877_1	PC1296877	1	13154	unknown function	0.55	11.8
PC1357792_6	PC1357792	6	57	head and packaging	1.5e-06	29.7
PC353389_1	PC353389	1	97	other	1.7e-21	78.5
PC755417_2	PC755417	2	27516	unknown function	3.8	8.9
PC1183169_4	PC1183169	4	1741	moron, auxiliary metabolic gene and host takeover	1.4e-30	108.0
PC534962_2	PC534962	2	NA	unannotated	NA	NA
PC1385616_2	PC1385616	2	28622	unknown function	4.2e-05	21.0
PC435109_1	PC435109	1	5982	unknown function	3.2e-08	33.4
PC1057728_1	PC1057728	1	3333	other	2.1e-09	38.3
PC660515_1	PC660515	1	NA	unannotated	NA	NA
PC1500270_2	PC1500270	2	8660	DNA, RNA and nucleotide metabolism	2.6e-11	45.5
PC1519011_4	PC1519011	4	13960	unknown function	0.0028	19.6
PC375511_2	PC375511	2	6502	unknown function	0.074	14.8
PC1122904_4	PC1122904	4	15562	unknown function	1.4e-32	114.4
PC10456_1	PC10456	1	6397	DNA, RNA and nucleotide metabolism	0.00014	22.1
PC975619_2	PC975619	2	12710	unknown function	3.6e-176	589.3
PC55694_1	PC55694	1	19425	other	0.04	15.1
PC1199089_3	PC1199089	3	28443	unknown function	0.2	13.0
PC587147_5	PC587147	5	10092	unknown function	0.39	12.7
PC857650_1	PC857650	1	20936	unknown function	0.089	14.7
PC1191783_1	PC1191783	1	947	DNA, RNA and nucleotide metabolism	5e-71	241.1
PC143837_4	PC143837	4	29532	unknown function	5.1e-17	63.3
PC990552_8	PC990552	8	27533	unknown function	4.8e-30	106.3
PC1042488_4	PC1042488	4	NA	unannotated	NA	NA
PC1180038_2	PC1180038	2	NA	unannotated	NA	NA
PC1224327_1	PC1224327	1	38818	unknown function	0.11	14.4
PC1567933_2	PC1567933	2	14937	unknown function	4.8e-05	25.0
PC79269_9	PC79269	9	33267	unknown function	0.1	11.9
PC1252674_3	PC1252674	3	32487	unknown function	0.37	12.4
PC226459_2	PC226459	2	22554	unknown function	0.016	16.2
PC253335_6	PC253335	6	18215	unknown function	0.0043	18.4
PC75401_1	PC75401	1	1139	DNA, RNA and nucleotide metabolism	4.4e-47	162.1
PC700968_5	PC700968	5	25383	unknown function	0.02	15.8
PC821841_1	PC821841	1	1835	DNA, RNA and nucleotide metabolism	0.00019	22.4
PC56577_2	PC56577	2	16409	unknown function	2.3e-24	87.8
PC914089_3	PC914089	3	3793	unknown function	0.044	14.5
PC244354_1	PC244354	1	28622	unknown function	4.3e-270	900.7
PC255227_4	PC255227	4	1422	unknown function	4e-05	25.2
PC1244205_4	PC1244205	4	37607	unknown function	0.14	14.1
PC260755_1	PC260755	1	293	moron, auxiliary metabolic gene and host takeover	9.1e-47	161.2
PC1426006_3	PC1426006	3	30341	unknown function	0.13	13.8
PC655717_3	PC655717	3	NA	unannotated	NA	NA
PC523436_6	PC523436	6	2455	unknown function	1.7e-07	33.0
PC1324204_2	PC1324204	2	NA	unannotated	NA	NA
PC1068166_1	PC1068166	1	NA	unannotated	NA	NA
PC246577_1	PC246577	1	540	DNA, RNA and nucleotide metabolism	0.027	14.4
PC287654_2	PC287654	2	NA	unannotated	NA	NA
PC138242_3	PC138242	3	16800	unknown function	0.28	12.6
PC446697_2	PC446697	2	16655	unknown function	1e-37	131.5
PC552466_1	PC552466	1	NA	unannotated	NA	NA
PC525171_2	PC525171	2	NA	unannotated	NA	NA
PC489623_1	PC489623	1	12965	DNA, RNA and nucleotide metabolism	1.1e-10	43.2
PC41058_3	PC41058	3	5982	unknown function	1.3e-129	435.2
PC1348311_17	PC1348311	17	3590	unknown function	0.022	15.7
PC1072021_1	PC1072021	1	10776	unknown function	2e-05	24.7
PC1369397_3	PC1369397	3	5	connector	3.2e-11	45.0
PC1403789_1	PC1403789	1	15967	unknown function	4.6e-58	198.3
PC812251_3	PC812251	3	NA	unannotated	NA	NA
PC819020_11	PC819020	11	17211	unknown function	0.12	14.0
PC1317759_1	PC1317759	1	8709	unknown function	0.58	11.9
PC1355332_8	PC1355332	8	11967	unknown function	0.037	15.5
PC1043455_3	PC1043455	3	NA	unannotated	NA	NA
PC1123403_6	PC1123403	6	32356	unknown function	0.075	14.5
PC245450_4	PC245450	4	1358	moron, auxiliary metabolic gene and host takeover	2.3e-21	76.6
PC116982_1	PC116982	1	28315	unknown function	0.26	11.7
PC1569865_1	PC1569865	1	35131	unknown function	0.22	13.2
PC319634_4	PC319634	4	5602	unknown function	0.014	16.5
PC830810_2	PC830810	2	NA	unannotated	NA	NA
PC117692_1	PC117692	1	296	integration and excision	1.1e-07	32.5
PC1217117_4	PC1217117	4	9149	unknown function	0.11	13.8
PC1552616_3	PC1552616	3	8810	unknown function	1.5e-30	108.1
PC630165_2	PC630165	2	36592	unknown function	0.036	14.8
PC812004_39	PC812004	39	598	DNA, RNA and nucleotide metabolism	1.5e-22	81.9
PC57868_3	PC57868	3	2686	unknown function	0.4	12.0
PC1486402_5	PC1486402	5	NA	unannotated	NA	NA
PC987208_1	PC987208	1	114	DNA, RNA and nucleotide metabolism	8.8e-12	45.9
PC122804_4	PC122804	4	24342	unknown function	0.034	15.7
PC297712_2	PC297712	2	33839	unknown function	0.054	15.2
PC897370_1	PC897370	1	125	DNA, RNA and nucleotide metabolism	1.4e-28	101.6
PC529563_4	PC529563	4	18266	unknown function	7.6e-12	47.0
PC325555_1	PC325555	1	NA	unannotated	NA	NA
PC1484853_2	PC1484853	2	26596	unknown function	1.3e-10	42.9
PC946723_2	PC946723	2	11608	unknown function	0.14	14.0
PC481848_2	PC481848	2	17892	unknown function	0.014	17.1
PC1052414_2	PC1052414	2	417	unknown function	0.042	15.6
PC1132033_3	PC1132033	3	16966	unknown function	0.13	13.4
PC1152933_4	PC1152933	4	25568	unknown function	9.1	8.3
PC1335205_2	PC1335205	2	125	DNA, RNA and nucleotide metabolism	1.4e-46	160.6
PC1394284_1	PC1394284	1	5978	unknown function	0.0017	19.0
PC1583277_3	PC1583277	3	9457	unknown function	0.35	12.8
PC3242_4	PC3242	4	35155	unknown function	2.5e-93	314.6
PC643830_4	PC643830	4	22664	unknown function	0.002	18.2
PC965089_5	PC965089	5	NA	unannotated	NA	NA
PC549349_3	PC549349	3	38733	unknown function	0.086	13.9
PC209327_2	PC209327	2	8741	unknown function	0.21	12.3
PC860054_2	PC860054	2	NA	unannotated	NA	NA
PC1347139_1	PC1347139	1	11528	unknown function	5.4e-81	273.6
PC369673_5	PC369673	5	1502	unknown function	0.41	12.2
PC1110224_3	PC1110224	3	6841	unknown function	0.59	10.4
PC1244209_7	PC1244209	7	NA	unannotated	NA	NA
PC1571955_2	PC1571955	2	1805	unknown function	0.29	12.8
PC951822_1	PC951822	1	2488	DNA, RNA and nucleotide metabolism	4.8e-31	109.6
PC419295_2	PC419295	2	NA	unannotated	NA	NA
PC1090734_3	PC1090734	3	NA	unannotated	NA	NA
PC1258202_1	PC1258202	1	19980	unknown function	2.1e-49	170.2
PC1380991_4	PC1380991	4	3142	moron, auxiliary metabolic gene and host takeover	2.4e-40	140.0
PC1322245_5	PC1322245	5	26907	unknown function	0.16	14.1
PC539632_4	PC539632	4	19172	unknown function	1.2e-07	32.4
PC380852_2	PC380852	2	18532	unknown function	2.9e-05	24.5
PC837110_3	PC837110	3	5934	moron, auxiliary metabolic gene and host takeover	1.7e-23	84.1
PC1581834_2	PC1581834	2	17959	unknown function	0.41	11.0
PC926266_1	PC926266	1	NA	unannotated	NA	NA
PC1002545_1	PC1002545	1	3736	unknown function	2.1e-24	88.0
PC623817_5	PC623817	5	1075	DNA, RNA and nucleotide metabolism	3.9e-60	205.7
PC81509_11	PC81509	11	699	unknown function	0.051	15.0
PC609872_3	PC609872	3	3142	moron, auxiliary metabolic gene and host takeover	6.3e-21	75.9
PC410693_2	PC410693	2	15086	unknown function	1.9e-35	124.1
PC1573895_5	PC1573895	5	NA	unannotated	NA	NA
PC641748_3	PC641748	3	47	DNA, RNA and nucleotide metabolism	4.5e-22	79.9
PC1562963_2	PC1562963	2	NA	unannotated	NA	NA
PC624317_1	PC624317	1	38143	unknown function	0.067	14.8
PC1319360_1	PC1319360	1	37682	unknown function	0.044	15.4
PC534961_5	PC534961	5	14729	unknown function	0.52	12.0
PC1111833_6	PC1111833	6	20724	DNA, RNA and nucleotide metabolism	0.087	14.5
PC1189803_6	PC1189803	6	28604	unknown function	2.2e-94	318.8
PC450364_1	PC450364	1	NA	unannotated	NA	NA
PC1083753_4	PC1083753	4	NA	unannotated	NA	NA
PC681170_3	PC681170	3	NA	unannotated	NA	NA
PC756328_1	PC756328	1	19617	lysis	5.8	8.7
PC360615_1	PC360615	1	NA	unannotated	NA	NA
PC1259446_2	PC1259446	2	12432	other	0.00061	20.5
PC1224314_5	PC1224314	5	7251	moron, auxiliary metabolic gene and host takeover	2.4e-34	119.0
PC1452495_4	PC1452495	4	NA	unannotated	NA	NA
PC661425_2	PC661425	2	NA	unannotated	NA	NA
PC856379_3	PC856379	3	NA	unannotated	NA	NA
PC698309_1	PC698309	1	17321	unknown function	0.0098	14.8
PC1021710_1	PC1021710	1	NA	unannotated	NA	NA
PC1222428_1	PC1222428	1	10776	unknown function	3.5e-05	23.9
PC245147_2	PC245147	2	9210	unknown function	0.5	11.4
PC27896_4	PC27896	4	NA	unannotated	NA	NA
PC1089727_8	PC1089727	8	6929	other	8.8e-15	56.8
PC352849_6	PC352849	6	164	DNA, RNA and nucleotide metabolism	2.6e-38	133.8
PC895484_6	PC895484	6	27697	unknown function	3.9e-09	37.0
PC242108_4	PC242108	4	NA	unannotated	NA	NA
PC718591_1	PC718591	1	24866	unknown function	1.9e-12	49.1
PC318427_1	PC318427	1	37724	unknown function	0.52	12.0
PC1491976_1	PC1491976	1	34244	unknown function	0.27	12.9
PC615469_1	PC615469	1	6415	unknown function	0.54	12.3
PC238592_3	PC238592	3	19528	tail	0.00068	19.8
PC756171_2	PC756171	2	NA	unannotated	NA	NA
PC880687_1	PC880687	1	22605	unknown function	9.2e-49	168.3
PC1339925_3	PC1339925	3	NA	unannotated	NA	NA
PC1466763_1	PC1466763	1	18374	unknown function	1.3e-10	42.2
PC1552181_4	PC1552181	4	NA	unannotated	NA	NA
PC639918_2	PC639918	2	NA	unannotated	NA	NA
PC810508_1	PC810508	1	2170	moron, auxiliary metabolic gene and host takeover	5.5e-22	79.9
PC1499252_2	PC1499252	2	15769	unknown function	0.21	11.8
PC12578_2	PC12578	2	9095	unknown function	8e-05	24.3
PC301280_1	PC301280	1	186	DNA, RNA and nucleotide metabolism	4.7e-06	28.0
PC566350_2	PC566350	2	8530	unknown function	0.015	16.8
PC977791_7	PC977791	7	5716	unknown function	7.6e-119	397.4
PC1437910_4	PC1437910	4	3736	unknown function	1.1e-55	190.7
PC706397_2	PC706397	2	NA	unannotated	NA	NA
PC1406924_4	PC1406924	4	722	unknown function	0.002	19.4
PC1253924_1	PC1253924	1	14147	transcription regulation	0.12	13.3
PC134674_3	PC134674	3	28740	unknown function	0.4	12.2
PC1324907_1	PC1324907	1	NA	unannotated	NA	NA
PC1035517_3	PC1035517	3	NA	unannotated	NA	NA
PC1243500_2	PC1243500	2	35576	unknown function	2e-15	57.7
PC1453280_30	PC1453280	30	11660	tail	4.2e-30	105.8
PC1331570_5	PC1331570	5	NA	unannotated	NA	NA
PC1307847_3	PC1307847	3	NA	unannotated	NA	NA
PC233100_2	PC233100	2	NA	unannotated	NA	NA
PC153123_2	PC153123	2	NA	unannotated	NA	NA
PC471098_5	PC471098	5	20388	lysis	0.0024	18.5
PC14522_2	PC14522	2	22596	unknown function	0.15	13.6
PC1346525_5	PC1346525	5	66	integration and excision	3.6e-05	25.1
PC512103_1	PC512103	1	29922	unknown function	0.04	15.0
PC1520522_5	PC1520522	5	NA	unannotated	NA	NA
PC1193417_1	PC1193417	1	453	DNA, RNA and nucleotide metabolism	7.7e-26	92.9
PC1340215_5	PC1340215	5	19231	unknown function	0.35	12.6
PC1281260_2	PC1281260	2	20155	unknown function	0.18	13.9
PC215818_3	PC215818	3	8468	other	0.00063	21.1
PC716539_1	PC716539	1	415	other	0.2	12.8
PC1574010_11	PC1574010	11	2474	transcription regulation	0.12	13.7
PC70630_3	PC70630	3	NA	unannotated	NA	NA
PC660572_2	PC660572	2	16726	DNA, RNA and nucleotide metabolism	0.0016	19.7
PC799138_4	PC799138	4	1740	transcription regulation	3e-05	24.2
PC1226101_1	PC1226101	1	24705	unknown function	0.3	13.0
PC1245663_1	PC1245663	1	29538	unknown function	2.8e-30	106.9
PC629077_1	PC629077	1	12710	unknown function	1e-44	154.3
PC367566_1	PC367566	1	29128	unknown function	0.25	12.7
PC890340_1	PC890340	1	3090	unknown function	0.3	12.6
PC1262983_4	PC1262983	4	36883	unknown function	2.7e-08	34.9
PC647692_3	PC647692	3	23018	unknown function	0.16	13.2
PC555314_1	PC555314	1	2520	moron, auxiliary metabolic gene and host takeover	0.093	14.0
PC206690_3	PC206690	3	16932	unknown function	4.8e-09	37.1
PC498351_7	PC498351	7	7308	moron, auxiliary metabolic gene and host takeover	1.4e-31	111.5
PC689713_3	PC689713	3	NA	unannotated	NA	NA
PC601357_1	PC601357	1	NA	unannotated	NA	NA
PC793392_2	PC793392	2	5982	unknown function	2.8e-31	109.7
PC109509_3	PC109509	3	3736	unknown function	4e-54	185.6
PC477841_4	PC477841	4	28307	unknown function	2.8e-45	154.9
PC1226357_6	PC1226357	6	15643	unknown function	0.06	14.8
PC978855_4	PC978855	4	11796	unknown function	1.6e-07	33.2
PC1362174_5	PC1362174	5	1009	unknown function	0.011	17.3
PC1188947_3	PC1188947	3	15577	unknown function	3.2e-120	403.4
PC728530_5	PC728530	5	NA	unannotated	NA	NA
PC1260598_4	PC1260598	4	21474	unknown function	2.4e-12	49.0
PC311207_11	PC311207	11	857	unknown function	3.3e-77	262.2
PC709588_2	PC709588	2	11841	other	2.1e-148	496.7
PC1551327_5	PC1551327	5	NA	unannotated	NA	NA
PC1082569_2	PC1082569	2	36754	unknown function	1.3e-39	137.7
PC413183_1	PC413183	1	29963	unknown function	7e-07	30.5
PC177564_3	PC177564	3	36784	other	0.00019	21.5
PC1005820_1	PC1005820	1	NA	unannotated	NA	NA
PC1016527_2	PC1016527	2	1649	other	5.6e-06	26.7
PC1260717_2	PC1260717	2	151	integration and excision	2.9e-05	24.3
PC374803_4	PC374803	4	2928	other	1.3e-30	108.5
PC1434997_3	PC1434997	3	32805	unknown function	6.3e-117	393.2
PC618090_3	PC618090	3	4871	other	4.4e-96	324.5
PC1061962_1	PC1061962	1	33353	unknown function	2.9e-238	792.8
PC1091480_1	PC1091480	1	NA	unannotated	NA	NA
PC1081322_5	PC1081322	5	25264	unknown function	1.1e-06	30.5
PC316715_4	PC316715	4	15	head and packaging	3.9e-75	255.5
PC965779_1	PC965779	1	24096	unknown function	0.013	16.6
PC1294826_2	PC1294826	2	8735	unknown function	4.6e-61	207.7
PC1487999_7	PC1487999	7	2425	unknown function	0.37	12.1
PC1144268_2	PC1144268	2	25518	unknown function	0.068	13.5
PC751877_2	PC751877	2	3142	moron, auxiliary metabolic gene and host takeover	3.7e-39	136.1
PC834458_2	PC834458	2	4402	DNA, RNA and nucleotide metabolism	2.3e-37	130.6
PC1272893_1	PC1272893	1	20233	unknown function	0.31	12.3
PC317956_8	PC317956	8	36135	unknown function	0.088	14.5
PC573229_8	PC573229	8	26782	unknown function	0.42	11.9
PC1348311_12	PC1348311	12	NA	unannotated	NA	NA
PC757926_4	PC757926	4	2737	unknown function	4.5e-24	85.8
PC1090734_12	PC1090734	12	4350	unknown function	0.00015	22.9
PC1546323_5	PC1546323	5	125	DNA, RNA and nucleotide metabolism	9.3e-56	190.7
PC1085016_2	PC1085016	2	4807	unknown function	0.15	13.6
PC1021408_1	PC1021408	1	24362	unknown function	5.0	9.1
PC108585_2	PC108585	2	37036	unknown function	3e-13	50.8
PC1275989_5	PC1275989	5	13260	unknown function	6.3e-61	208.2
PC1294645_1	PC1294645	1	21218	unknown function	0.16	13.4
PC52120_1	PC52120	1	10776	unknown function	5.4e-29	102.6
PC572265_2	PC572265	2	NA	unannotated	NA	NA
PC541194_3	PC541194	3	540	DNA, RNA and nucleotide metabolism	1.7e-94	319.1
PC1365284_4	PC1365284	4	3736	unknown function	5.9e-26	93.1
PC1016164_1	PC1016164	1	22240	unknown function	0.061	15.6
PC1375780_5	PC1375780	5	16204	unknown function	0.32	12.2
PC708626_1	PC708626	1	16249	moron, auxiliary metabolic gene and host takeover	4.2e-06	28.1
PC128964_2	PC128964	2	26846	unknown function	0.0094	16.1
PC760923_34	PC760923	34	NA	unannotated	NA	NA
PC1583387_2	PC1583387	2	NA	unannotated	NA	NA
PC360634_6	PC360634	6	NA	unannotated	NA	NA
PC208266_4	PC208266	4	NA	unannotated	NA	NA
PC923966_2	PC923966	2	37713	unknown function	0.51	11.6
PC1411052_1	PC1411052	1	32750	unknown function	0.084	14.9
PC388317_3	PC388317	3	NA	unannotated	NA	NA
PC553744_2	PC553744	2	424	moron, auxiliary metabolic gene and host takeover	9.5e-25	89.0
PC306210_3	PC306210	3	8851	other	0.86	10.8
PC378871_6	PC378871	6	25922	unknown function	1.4e-25	90.5
PC778259_8	PC778259	8	582	transcription regulation	0.049	15.4
PC1144902_2	PC1144902	2	11956	unknown function	1.4e-270	899.7
PC811677_1	PC811677	1	NA	unannotated	NA	NA
PC647507_2	PC647507	2	36592	unknown function	1.2e-58	200.5
PC1421142_3	PC1421142	3	NA	unannotated	NA	NA
PC119182_2	PC119182	2	NA	unannotated	NA	NA
